obsnme,obsval,weight,standard_deviation,obgnme
wp_bp_0013_20210727,357.3779886,0.0,9.144,valid
wp_bp_0013_20210811,357.5608611,0.0,9.144,valid
wo_bp_0013_20150101,364.4180145,0.0,9.144,oobs
wo_bp_0013_20150201,364.5638237,0.0,9.144,oobs
wo_bp_0013_20150301,364.6454098,0.0,9.144,oobs
wo_bp_0013_20150401,364.6398574,0.0,9.144,oobs
wo_bp_0013_20150501,364.586292,0.0,9.144,oobs
wo_bp_0013_20150601,364.5134785,0.0,9.144,oobs
wo_bp_0013_20150701,364.4490521,0.0,9.144,oobs
wo_bp_0013_20150801,364.4035685,0.0,9.144,oobs
wo_bp_0013_20150901,364.3672728,0.0,9.144,oobs
wo_bp_0013_20151001,364.330685,0.0,9.144,oobs
wo_bp_0013_20151101,364.2891614,0.0,9.144,oobs
wo_bp_0013_20151201,364.2509927,0.0,9.144,oobs
wo_bp_0013_20160101,364.226796,0.0,9.144,oobs
wo_bp_0013_20160201,364.2120389,0.0,9.144,oobs
wo_bp_0013_20160301,364.2012344,0.0,9.144,oobs
wo_bp_0013_20160401,364.1891133,0.0,9.144,oobs
wo_bp_0013_20160501,364.1731046,0.0,9.144,oobs
wo_bp_0013_20160601,364.1573615,0.0,9.144,oobs
wo_bp_0013_20160701,364.150058,0.0,9.144,oobs
wo_bp_0013_20160801,364.1514855,0.0,9.144,oobs
wo_bp_0013_20160901,364.1510603,0.0,9.144,oobs
wo_bp_0013_20161001,364.1450783,0.0,9.144,oobs
wo_bp_0013_20161101,364.1311066,0.0,9.144,oobs
wo_bp_0013_20161201,364.1083957,0.0,9.144,oobs
wo_bp_0013_20170101,364.0792553,0.0,9.144,oobs
wo_bp_0013_20170201,364.0429791,0.0,9.144,oobs
wo_bp_0013_20170301,364.0032056,0.0,9.144,oobs
wo_bp_0013_20170401,363.9615127,0.0,9.144,oobs
wo_bp_0013_20170501,363.9161853,0.0,9.144,oobs
wo_bp_0013_20170601,363.8678839,0.0,9.144,oobs
wo_bp_0013_20170701,363.8160158,0.0,9.144,oobs
wo_bp_0013_20170801,363.7603791,0.0,9.144,oobs
wo_bp_0013_20170901,363.7000419,0.0,9.144,oobs
wo_bp_0013_20171001,363.6358399,0.0,9.144,oobs
wo_bp_0013_20171101,363.5683987,0.0,9.144,oobs
wo_bp_0013_20171201,363.4979053,0.0,9.144,oobs
wo_bp_0013_20180101,363.4241977,0.0,9.144,oobs
wo_bp_0013_20180201,363.3477408,0.0,9.144,oobs
wo_bp_0013_20180301,363.2693356,0.0,9.144,oobs
wo_bp_0013_20180401,363.1883794,0.0,9.144,oobs
wo_bp_0013_20180501,363.1040705,0.0,9.144,oobs
wo_bp_0013_20180601,363.0172186,0.0,9.144,oobs
wo_bp_0013_20180701,362.9280469,0.0,9.144,oobs
wo_bp_0013_20180801,362.836518,0.0,9.144,oobs
wo_bp_0013_20180901,362.7433506,0.0,9.144,oobs
wo_bp_0013_20181001,362.6499618,0.0,9.144,oobs
wo_bp_0013_20181101,362.5610279,0.0,9.144,oobs
wo_bp_0013_20181201,362.4806248,0.0,9.144,oobs
wo_bp_0013_20190101,362.4076311,0.0,9.144,oobs
wo_bp_0013_20190201,362.3413701,0.0,9.144,oobs
wo_bp_0013_20190301,362.2819867,0.0,9.144,oobs
wo_bp_0013_20190401,362.2274219,0.0,9.144,oobs
wo_bp_0013_20190501,362.174496,0.0,9.144,oobs
wo_bp_0013_20190601,362.1266555,0.0,9.144,oobs
wo_bp_0013_20190701,362.0865665,0.0,9.144,oobs
wo_bp_0013_20190801,362.0520078,0.0,9.144,oobs
wo_bp_0013_20190901,362.0184169,0.0,9.144,oobs
wo_bp_0013_20191001,361.9846532,0.0,9.144,oobs
wo_bp_0013_20191101,361.9495158,0.0,9.144,oobs
wo_bp_0013_20191201,361.9121593,0.0,9.144,oobs
wo_bp_0013_20200101,361.8727167,0.0,9.144,oobs
wo_bp_0013_20200201,361.8294025,0.0,9.144,oobs
wo_bp_0013_20200301,361.7836863,0.0,9.144,oobs
wo_bp_0013_20200401,361.73569,0.0,9.144,oobs
wo_bp_0013_20200501,361.6843453,0.0,9.144,oobs
wo_bp_0013_20200601,361.6307651,0.0,9.144,oobs
wo_bp_0013_20200701,361.5776072,0.0,9.144,oobs
wo_bp_0013_20200801,361.5258836,0.0,9.144,oobs
wo_bp_0013_20200901,361.4737119,0.0,9.144,oobs
wo_bp_0013_20201001,361.4212826,0.0,9.144,oobs
