obsnme                             value 
wp_bp_0018_20190711       3.97650197E+02 
wp_bp_0018_20190808       3.96881895E+02 
wp_bp_0018_20190911       3.96180146E+02 
wp_bp_0018_20191015       3.95650312E+02 
wp_bp_0018_20191119       3.95210619E+02 
wp_bp_0018_20191218       3.94899488E+02 
wp_bp_0018_20200114       3.94640568E+02 
wp_bp_0018_20200219       3.94463954E+02 
wp_bp_0018_20200317       3.94872618E+02 
wp_bp_0018_20200429       3.95481588E+02 
wp_bp_0018_20200520       3.95488209E+02 
wp_bp_0018_20200622       3.97189430E+02 
wp_bp_0018_20200709       3.96922968E+02 
