name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
WA_BS_0006_20190901,152.697,9.26368,128.03,180.183,161.961,143.434,241.501,0.253271,240.779,242.306,241.755,241.248,60.5964
WA_BS_0006_20191001,150.1,9.38498,122.887,178.104,159.485,140.715,241.44,0.249785,240.744,242.235,241.69,241.19,62.64
WA_BS_0006_20191101,150.27,8.56889,121.743,173.955,158.839,141.701,241.385,0.247295,240.71,242.175,241.633,241.138,66.7541
WA_BS_0006_20191201,149.501,9.26809,117.961,179.076,158.769,140.233,241.336,0.245379,240.676,242.121,241.581,241.09,61.5991
WP_CC_7141_20170816,380.836,9.23488,353.655,402.094,390.071,371.601,407.729,0.214568,407.211,408.256,407.943,407.514,5.11796
WP_CC_7141_20170914,377.709,8.4394,354.805,402.509,386.149,369.27,407.724,0.219113,407.197,408.258,407.943,407.505,4.68789
WP_CC_7141_20180410,381.776,8.35233,352.402,404.637,390.128,373.423,407.593,0.249252,407.015,408.166,407.842,407.344,2.37811
WP_CC_7141_20180425,382.595,8.94615,353.131,402.669,391.542,373.649,407.571,0.251386,406.987,408.148,407.822,407.319,4.31851
WP_CC_7141_20180530,380.084,9.14456,357.612,406.517,389.229,370.94,407.539,0.256132,406.946,408.124,407.795,407.283,0.429047
WP_CC_7141_20180731,378.532,8.9856,351.488,404.593,387.518,369.546,407.466,0.264369,406.857,408.065,407.731,407.202,2.26405
WP_CC_7656_20161215,399.172,8.90841,372.368,422.081,408.08,390.264,424.073,0.154577,423.618,424.472,424.228,423.919,1.53711
WP_CC_7656_20161229,400.357,8.1222,373.021,420.501,408.48,392.235,424.059,0.156835,423.597,424.462,424.215,423.902,3.0964
WP_CC_7656_20170130,400.378,9.16977,375.614,423.118,409.548,391.208,424.025,0.161899,423.55,424.44,424.186,423.863,0.431395
