iteration,total_runs,obs_realization,par_realization,zball,zb003,zb007,zb005,zb001,zb002,zb006,zb004,burnin,valid,oobs
0,266,256,256,0.887912,192235,31817.4,197433,747372,1.08853e+06,196605,346093,0,0,0
0,266,257,257,0.838045,192538,32797.5,197838,699790,847644,204333,283153,0,0,0
0,266,258,258,0.863572,192573,31355.9,198560,695870,843355,196796,277859,0,0,0
0,266,259,259,0.868939,192451,33342.3,197197,690044,858539,194535,286667,0,0,0
0,266,260,260,0.832491,191878,32566.8,199091,694876,848743,199734,279586,0,0,0
0,266,261,261,0.839322,192078,34050.3,197762,695470,840696,198476,281294,0,0,0
0,266,262,262,0.870876,192563,31996.5,199181,690598,845860,199785,284025,0,0,0
0,266,263,263,0.810219,192550,32631.3,199159,688436,843064,204721,284545,0,0,0
0,266,264,264,0.801499,192519,32947.7,197303,691133,851277,204752,283363,0,0,0
0,266,266,266,0.823117,192545,33679.7,199818,687976,843347,198155,277745,0,0,0
0,266,267,267,0.880337,192199,32231,200155,740763,872181,199435,279189,0,0,0
0,266,268,268,0.886537,192713,32912.9,198078,685085,838607,196730,278589,0,0,0
0,266,269,269,0.867471,191885,32706.9,196712,693658,844748,199574,283424,0,0,0
0,266,270,270,0.831674,192151,32105.1,197605,690835,833504,198945,276314,0,0,0
0,266,271,271,0.824435,192247,32826.7,198954,686791,829891,192920,277619,0,0,0
0,266,272,272,0.848841,192683,31808.9,198330,789890,904926,197024,281713,0,0,0
0,266,273,273,0.899136,191829,30898.4,198043,687315,917271,192490,301442,0,0,0
0,266,274,274,0.859585,192528,32519.9,198357,690023,847018,199365,282698,0,0,0
0,266,276,276,0.804663,192760,33203.2,196999,689154,832001,187251,286360,0,0,0
0,266,278,278,0.871455,192679,32003.9,196556,689905,875042,198704,289600,0,0,0
0,266,279,279,0.867135,192242,33360.3,197581,697444,837693,193811,279437,0,0,0
0,266,280,280,0.90692,191357,31836.9,198315,684962,837944,199452,278643,0,0,0
0,266,281,281,0.827529,192798,31519.2,198958,695780,922857,202374,305815,0,0,0
0,266,282,282,0.883698,191982,33825.2,197081,693906,839683,196199,280584,0,0,0
0,266,284,284,0.872497,192499,32229.5,198544,692930,842074,196070,280446,0,0,0
0,266,285,285,0.835855,192484,31504.2,199613,689995,850149,199676,282380,0,0,0
