name,value,group,weight
wo_bp_0013_20201101,361.368,oobs,0
wo_bp_0013_20201201,361.315,oobs,0
wo_bp_0013_20210101,361.261,oobs,0
wo_bp_0013_20210201,361.204,oobs,0
wo_bp_0013_20210301,361.148,oobs,0
wo_bp_0013_20210401,361.091,oobs,0
wo_bp_0013_20210501,361.031,oobs,0
wo_bp_0013_20210601,360.97,oobs,0
wo_bp_0013_20210701,360.908,oobs,0
wo_bp_0013_20210801,360.847,oobs,0
wo_bp_0013_20210901,360.787,oobs,0
wo_bp_0013_20211001,360.727,oobs,0
wo_bp_0013_20211101,360.668,oobs,0
wo_bp_0013_20211201,360.61,oobs,0
wo_bp_0014_20150101,343.819,oobs,0
wo_bp_0014_20150201,343.811,oobs,0
wo_bp_0014_20150301,343.801,oobs,0
wo_bp_0014_20150401,343.798,oobs,0
wo_bp_0014_20150501,343.796,oobs,0
wo_bp_0014_20150601,343.795,oobs,0
wo_bp_0014_20150701,343.795,oobs,0
wo_bp_0014_20150801,343.796,oobs,0
wo_bp_0014_20150901,343.798,oobs,0
wo_bp_0014_20151001,343.801,oobs,0
wo_bp_0014_20151101,343.805,oobs,0
wo_bp_0014_20151201,343.81,oobs,0
wo_bp_0014_20160101,343.817,oobs,0
wo_bp_0014_20160201,343.824,oobs,0
wo_bp_0014_20160301,343.833,oobs,0
wo_bp_0014_20160401,343.843,oobs,0
wo_bp_0014_20160501,343.854,oobs,0
wo_bp_0014_20160601,343.865,oobs,0
wo_bp_0014_20160701,343.878,oobs,0
wo_bp_0014_20160801,343.893,oobs,0
wo_bp_0014_20160901,343.908,oobs,0
wo_bp_0014_20161001,343.924,oobs,0
wo_bp_0014_20161101,343.941,oobs,0
wo_bp_0014_20161201,343.958,oobs,0
wo_bp_0014_20170101,343.977,oobs,0
wo_bp_0014_20170201,343.995,oobs,0
wo_bp_0014_20170301,344.013,oobs,0
wo_bp_0014_20170401,344.033,oobs,0
wo_bp_0014_20170501,344.053,oobs,0
wo_bp_0014_20170601,344.073,oobs,0
wo_bp_0014_20170701,344.094,oobs,0
wo_bp_0014_20170801,344.116,oobs,0
wo_bp_0014_20170901,344.137,oobs,0
wo_bp_0014_20171001,344.159,oobs,0
wo_bp_0014_20171101,344.18,oobs,0
wo_bp_0014_20171201,344.202,oobs,0
wo_bp_0014_20180101,344.224,oobs,0
wo_bp_0014_20180201,344.245,oobs,0
wo_bp_0014_20180301,344.266,oobs,0
wo_bp_0014_20180401,344.287,oobs,0
wo_bp_0014_20180501,344.309,oobs,0
wo_bp_0014_20180601,344.33,oobs,0
